track_name,artist_names,mood,valence,energy,danceability,tempo
Still Got Time (feat. PARTYNEXTDOOR),"ZAYN, PARTYNEXTDOOR",calm,0.524,0.627,0.748,120.963
Growing Pains,Alessia Cara,energetic,0.437,0.755,0.353,191.153
Mr. Brightside,The Killers,energetic,0.236,0.911,0.352,148.033
Best Life (feat. Chance The Rapper),"Cardi B, Chance the Rapper",happy,0.665,0.625,0.62,167.911
One Right Now (with The Weeknd),"Post Malone, The Weeknd",happy,0.688,0.781,0.687,97.014
No Me Acuerdo,"Thalia, NATTI NATASHA",happy,0.772,0.799,0.836,94.033
Hot Stuff,"Kygo, Donna Summer",energetic,0.429,0.773,0.681,119.961
Baile do Bruxo,"Tropa do Bruxo, DJ Ws da Igrejinha, SMU, Triz, Mc Menor Thalis",calm,0.522,0.228,0.734,162.524
Bounce Out With That,YBN Nahmir,calm,0.482,0.56,0.857,94.949
LOOSE CHANGE,Brent Faiyaz,calm,0.44,0.369,0.574,84.975
Hot Shower,"Chance the Rapper, MadeinTYO, DaBaby",calm,0.599,0.509,0.899,150.001
You Don't Know Me (feat. RAYE),"Jax Jones, RAYE",happy,0.682,0.669,0.876,124.007
Maria Mariah,"KZA Produções, wonda",happy,0.776,0.873,0.648,130.003
East Side of Sorrow,Zach Bryan,calm,0.169,0.607,0.408,144.136
Break My Heart,Dua Lipa,energetic,0.467,0.729,0.73,113.011
CHopstix (feat. Travis Scott),"ScHoolboy Q, Travis Scott",calm,0.607,0.6,0.958,127.933
Nothing New (feat. Phoebe Bridgers) (Taylor’s Version) (From The Vault),"Taylor Swift, Phoebe Bridgers",calm,0.446,0.377,0.606,101.96
Did It Again,Lil Tecca,calm,0.234,0.575,0.699,148.767
NUMB,XXXTENTACION,sad,0.196,0.416,0.414,159.91
Paradise,BTS,happy,0.929,0.828,0.519,139.413
malibu,sangiovanni,happy,0.669,0.736,0.733,147.897
If You're Over Me,Olly Alexander (Years & Years),happy,0.618,0.853,0.647,103.846
TELEFONO NUEVO,"Bad Bunny, Luar La L",calm,0.393,0.619,0.619,125.752
3D (feat. Jack Harlow),"Jung Kook, Jack Harlow",happy,0.888,0.824,0.853,108.044
One Last Song,Sam Smith,calm,0.485,0.53,0.672,103.326
UP IN SMOKE,RIN,calm,0.314,0.663,0.791,77.494
Morph,Twenty One Pilots,calm,0.518,0.607,0.734,90.023
Come Back to Earth,Mac Miller,sad,0.119,0.238,0.272,83.507
SUPREME - L'ego,"Marracash, thasup, Sfera Ebbasta",calm,0.509,0.661,0.656,140.956
All Bad (feat. Lil Uzi Vert),"Future, Lil Uzi Vert",happy,0.667,0.667,0.931,142.039
